shop,description,vector,naf_division
nuts,"Shop selling dried nuts/fruits, edible seeds, etc. Not to be confused with shop=spices.","[-0.19056296  0.24794285  0.6222764  -0.36570439  0.65288154 -0.01877675
 -0.14393772 -0.1499088   0.0115534 ]",Autres industries manufacturières
pasta,"Shop focused on selling (fresh) pasta, ravioli, etc.","[-0.22172737  0.2094206   0.58219055 -0.33394445  0.57253884 -0.02744452
 -0.11364222 -0.14771431  0.01057435]",Industries alimentaires
pastry,"Shop focused on selling baked sweets like cakes, biscuits, strudel and pies.","[-0.16586139  0.22002853  0.54686639 -0.3087204   0.55967443 -0.01849869
 -0.14419469 -0.19500893  0.00750175]",Autres industries manufacturières
seafood,Shop focused on selling fish/seafood.,"[-0.23326553  0.23607651  0.61827858 -0.31865881  0.61887157 -0.05890836
 -0.1215863  -0.16813452 -0.01150457]",Industries alimentaires
spices,Shop focused on selling spices.,"[-0.23326553  0.23607651  0.61827858 -0.31865881  0.61887157 -0.05890836
 -0.1215863  -0.16813452 -0.01150457]",Autres industries manufacturières
tea,Shop focused on selling tea.,"[-0.23326553  0.23607651  0.61827858 -0.31865881  0.61887157 -0.05890836
 -0.1215863  -0.16813452 -0.01150457]",Autres industries manufacturières
tortilla,Shop focused on selling tortillas.,"[-0.23326553  0.23607651  0.61827858 -0.31865881  0.61887157 -0.05890836
 -0.1215863  -0.16813452 -0.01150457]","Commerce de détail, à l’exception des automobiles et des motocycles"
water,Shop focused on selling drinking water.,"[-0.23326553  0.23607651  0.61827858 -0.31865881  0.61887157 -0.05890836
 -0.1215863  -0.16813452 -0.01150457]",Autres industries extractives
wine,Shop selling wine.,"[-0.15550708  0.28461845  0.53542258 -0.29416395  0.51653801 -0.05262451
 -0.15334463 -0.17071217 -0.03251839]",Restauration
department_store,A single large store – often multiple storeys high – selling a large variety of goods (see also shop=mall),"[-0.1752834   0.22555411  0.62444588 -0.37080105  0.62632682 -0.00156712
 -0.2000372  -0.21277171 -0.00268773]","Commerce de détail, à l’exception des automobiles et des motocycles"
general,A store that carries a general line of merchandise. (see also shop=convenience if it sells food).,"[-0.19446078  0.22520679  0.61965411 -0.3967049   0.65436198  0.01868835
 -0.21525125 -0.24208653  0.01835388]",Industries alimentaires
kiosk,"A small shop on the pavement that sells magazines, tobacco, newspapers, sweets and stamps.","[-0.19129821  0.25466905  0.58583294 -0.38930673  0.60177427  0.0042388
 -0.17674541 -0.24900081  0.0166287 ]","Commerce de détail, à l’exception des automobiles et des motocycles"
mall,A shopping mall – multiple stores under one roof (also known as a shopping centre),"[-0.16171757  0.23054853  0.59966734 -0.37712973  0.61603642 -0.00865502
 -0.20416173 -0.1998437   0.01307504]","Commerce de détail, à l’exception des automobiles et des motocycles"
supermarket,Supermarket – a large store with groceries and other items,"[-0.1754564   0.24290359  0.63672328 -0.36975862  0.63751213 -0.00907382
 -0.202568   -0.20063259 -0.00213308]","Commerce de détail, à l’exception des automobiles et des motocycles"
wholesale,Wholesale/warehouse club or cash and carry – a store that sells items in bulk to retailers. The branch of industry can be defined with wholesale=*.,"[-0.21445394  0.26807339  0.69235409 -0.40481411  0.72559805 -0.01798165
 -0.20192591 -0.24529787  0.0181641 ]",Industries alimentaires
baby_goods,"Shop focused on selling objects for babies (clothes, prams, cots, toys).","[-0.18894467  0.22900362  0.5426775  -0.33641216  0.57435146 -0.01847674
 -0.12964194 -0.17634584 -0.00277088]",Autres industries manufacturières
bag,Shop focused on selling bags.,"[-0.23326553  0.23607651  0.61827858 -0.31865881  0.61887157 -0.05890836
 -0.1215863  -0.16813452 -0.01150457]",Fabrication de textiles
boutique,"A small shopping outlet, especially one that specializes in elite and fashionable items","[-0.19942085  0.23328135  0.5928127  -0.39492708  0.60092983 -0.01446587
 -0.21812361 -0.21223626  0.02107356]",Industries alimentaires
clothes,Shop focused on selling clothes and/or underwear (other related value in use is fashion),"[-0.19350488  0.27467548  0.55475347 -0.35871427  0.59712899 -0.02628218
 -0.15520898 -0.20916633  0.00808823]",Fabrication de textiles
fabric,"Shop focused on selling fabric and other materials for the purpose of making clothes and other products, eg dress making.","[-0.190894    0.2534902   0.56220426 -0.33262498  0.59735239 -0.03401142
 -0.15889775 -0.19594272  0.01455607]",Fabrication de textiles
fashion,"Shop focused on selling fashion. This is deprecated, please use shop=clothes.","[-0.19619186  0.27789358  0.56328001 -0.36437301  0.57658196 -0.00267479
 -0.16635381 -0.21227001 -0.00750431]",Fabrication de textiles
fashion_accessories,Shop focused on selling fashion accessories.,"[-1.87053217e-01  2.43234809e-01  5.39103329e-01 -3.04547071e-01
  5.28145713e-01 -4.21261229e-04 -1.11341928e-01 -1.58150265e-01
  9.60765579e-03]",Fabrication de textiles
jewelry,Jewellers shops.,"[-0.22858323  0.29582331  0.75904232 -0.321136    0.62801802 -0.10046265
 -0.11665809 -0.14423695 -0.04537519]",Autres industries manufacturières
leather,Shop focused on selling products made out of leather.,"[-0.19619798  0.18758185  0.55341378 -0.28863275  0.5318684  -0.03623034
 -0.11255317 -0.15514899 -0.01536928]",Autres industries manufacturières
sewing,"A shop that sells sewing supplies (fabric, thread, yarn, knitting needles, sewing machines, etc.)","[-0.19451942  0.24262004  0.63510803 -0.3802364   0.61819543  0.00494632
 -0.15297671 -0.22263948  0.02985889]",Fabrication de textiles
shoes,Shop focused on selling shoes.,"[-0.23326553  0.23607651  0.61827858 -0.31865881  0.61887157 -0.05890836
 -0.1215863  -0.16813452 -0.01150457]",Autres industries manufacturières
shoe_repair,Shop focused on repairing shoes.,"[-0.20580241  0.17809785  0.56375473 -0.2607695   0.50878138 -0.06755146
 -0.11128916 -0.14844104 -0.04850425]",Autres industries manufacturières
tailor,"A place where clothing is made, repaired, or altered professionally, especially suits and men's clothing","[-0.19723364  0.24666776  0.66088239 -0.40384547  0.72181149  0.00962284
 -0.21679713 -0.27207615  0.00412058]",Fabrication de textiles
watches,Shop focused on selling watches.,"[-0.23326553  0.23607651  0.61827858 -0.31865881  0.61887157 -0.05890836
 -0.1215863  -0.16813452 -0.01150457]",Autres industries manufacturières
wool,Shop selling wool for making of clothes or other products.,"[-0.20737091  0.26354057  0.60287657 -0.34023147  0.6356833  -0.0510645
 -0.15566236 -0.1990651   0.00860426]",Fabrication de textiles
charity,"A charity shop is a shop operated by a charity, for the purposes of fundraising.","[-0.18486375  0.26532952  0.64738798 -0.40838837  0.67723198 -0.00926947
 -0.1862725  -0.22212975 -0.02119773]",Autres industries manufacturières
second_hand,A shop buying and selling used clothes and other things. See also shop=pawnbroker,"[-0.18551607  0.27070253  0.60618949 -0.397813    0.64817516 -0.00949081
 -0.19720658 -0.23539323  0.02938025]","Activités des services financiers, hors assurance et caisses de retraite"
variety_store,"A variety store retailer is a retail store that sells inexpensive items, sometimes with a single price point for all items in the store.","[-0.20309265  0.26548514  0.67176906 -0.42010665  0.68236984  0.01282707
 -0.21655756 -0.22499801  0.0063363 ]",Industries alimentaires
beauty,"A non-hairdresser beauty shop, spa, nail salon, etc.. See also shop=hairdresser.","[-0.19705507  0.21007304  0.59562147 -0.36975591  0.61004109  0.00807984
 -0.16875477 -0.17679769  0.02545773]",Autres industries manufacturières
chemist,"Shop focused on selling articles of personal hygiene, cosmetics, and household cleaning products (for a shop that potentially dispenses prescription drugs, cf. pharmacy. U.S. drug store, see amenity=pharmacy)","[-0.17977904  0.23811103  0.61278272 -0.35050387  0.60697687  0.00304934
 -0.17504205 -0.20709405 -0.00665898]",Industrie pharmaceutique
cosmetics,Shop focused on selling cosmetics,"[-0.23326553  0.23607651  0.61827858 -0.31865881  0.61887157 -0.05890836
 -0.1215863  -0.16813452 -0.01150457]",Autres industries manufacturières
erotic,"Shop focused on selling erotic toys, -clothes or other erotic stuff.","[-0.21044914  0.23570212  0.55542154 -0.31190324  0.61874415 -0.05264211
 -0.12692006 -0.19554293  0.01250687]",Autres industries manufacturières
hairdresser,"Here you can get your hair cut, coloured, … See also shop=beauty","[-0.202629    0.25416674  0.53728278 -0.32305527  0.60908118 -0.01305967
 -0.15958026 -0.2145118   0.00368806]",Fabrication de boissons
hairdresser_supply,"A shop, where you can buy hairdressing supplies.","[-0.21546339  0.24883169  0.61954517 -0.34353862  0.67252298 -0.00719658
 -0.15885836 -0.22162984  0.0170966 ]",Autres industries manufacturières
hearing_aids,Shop focused on selling hearing aids devices,"[-0.20341181  0.22909624  0.54778347 -0.30856552  0.5641645  -0.04540557
 -0.11910073 -0.17297847  0.00462965]",Industries alimentaires
herbalist,"Shop focused on selling herbs, often for medical purposes. (See also: healthcare:speciality=herbalism and healthcare=alternative).","[-0.17528859  0.23161509  0.58470719 -0.35661667  0.60953405 -0.02389224
 -0.16392355 -0.1842394   0.01411781]",Industrie pharmaceutique
massage,A massage shop,"[-0.19737231  0.25765818  0.71677637 -0.42316601  0.68530142 -0.00839275
 -0.20039304 -0.20914152 -0.03090017]",Autres industries manufacturières
medical_supply,Shop focused on selling medical supplies.,"[-0.20730264  0.22820116  0.61116232 -0.28814637  0.61405857 -0.05059859
 -0.10408441 -0.19325421  0.002873  ]",Industrie pharmaceutique
nutrition_supplements,"Shops that sells one or more nutritional supplements (of vitamins, minerals and/or herbs)","[-0.23023517  0.25234222  0.65991671 -0.39144983  0.69356762 -0.04193874
 -0.15433352 -0.22365052  0.02120963]",Autres industries extractives
optician,"Shop focused on selling eyeglasses, contact lenses (may also check your eyes).","[-0.22212458  0.24220019  0.60389854 -0.34138756  0.62713955 -0.05928474
 -0.12411568 -0.18080389  0.01196622]",Autres industries manufacturières
perfumery,Shop focused on selling perfumery,"[-0.23326553  0.23607651  0.61827858 -0.31865881  0.61887157 -0.05890836
 -0.1215863  -0.16813452 -0.01150457]",Autres industries manufacturières
tattoo,A tattoo parlour.,"[-0.16616139  0.21949306  0.67451042 -0.52519602  0.74258482  0.08367716
 -0.28412798 -0.27404609 -0.01642515]",Fabrication de textiles
agrarian,"Shop focused on selling agrarian products, like seeds, agricultural machinery, animal feed, etc.","[-0.20276638  0.20942909  0.55247076 -0.30337377  0.53320193 -0.03082616
 -0.10829801 -0.14347449  0.01141708]",Industries alimentaires
appliance,"Shop focused on selling large electrical items (aka white goods) washing machines, fridges, cookers, ovens, fans, etc.","[-2.10123885e-01  2.15312997e-01  5.72109647e-01 -3.15543793e-01
  5.31684525e-01 -2.72868878e-02 -1.29317419e-01 -1.41971086e-01
  4.47805185e-04]",Industries alimentaires
bathroom_furnishing,Shop focused on selling bathroom furniture and accessories,"[-0.15944334  0.24142094  0.56310331 -0.3229965   0.56323556 -0.01907766
 -0.13953603 -0.18508718 -0.00891328]",Industrie pharmaceutique
country_store,Shop focused on selling rural supplies – a range of goods specifically aimed at country dwellers,"[-0.16458577  0.22506633  0.60287041 -0.33675922  0.62988045 -0.03225328
 -0.1416636  -0.20755426  0.00888528]","Commerce de détail, à l’exception des automobiles et des motocycles"
doityourself,"Shop focused on selling tools and supplies to do-it-yourself householders, gardening, …","[-0.17839848  0.22757012  0.5909397  -0.33722183  0.61794339 -0.00762291
 -0.16261647 -0.21988865 -0.00993352]",Industries alimentaires
electrical,Shop focused on selling electrical supplies and devices,"[-0.17860169  0.22534792  0.5656515  -0.30691755  0.5585938  -0.03645513
 -0.1435353  -0.18661576  0.00885866]",Industries alimentaires
energy,Shop focused on selling energy,"[-0.23326553  0.23607651  0.61827858 -0.31865881  0.61887157 -0.05890836
 -0.1215863  -0.16813452 -0.01150457]",Autres industries manufacturières
fireplace,"Shop focused on selling electric fireplaces, stoves or masonry heaters and required fuels","[-0.22014345  0.24019146  0.64973433 -0.35348311  0.67003873 -0.03924466
 -0.16417962 -0.21923872  0.01701701]",Autres industries manufacturières
florist,Shop focused on selling bouquets of flowers (see shop=garden_centre for potted flowers).,"[-1.54698194e-01  2.09337919e-01  5.35405595e-01 -3.30877744e-01
  5.93439639e-01 -2.82413239e-02 -1.33270091e-01 -2.07275311e-01
  2.54609186e-04]",Restauration
garden_centre,"Shop focused on selling potted flowers, maybe even trees (see also shop=florist for flower bouquets).","[-0.16089686  0.21405629  0.523516   -0.32747062  0.58072763 -0.03035075
 -0.12450372 -0.1844519   0.01292449]",Restauration
garden_furniture,"Shop focused on selling garden furniture (sheds, outdoor tables, gates, fences, ...). See shop=garden_centre if also plants are sold.","[-0.18822789  0.20566664  0.50977283 -0.32694677  0.54212085 -0.02969855
 -0.16419745 -0.2042701   0.00942576]",Restauration
gas,"Shop focused on selling technical gas, such as argon, oxygen, acetylene, nitrogen, carbon dioxide, etc. in pressurized containers","[-0.23379092  0.21262583  0.58106907 -0.33025746  0.58313466 -0.02712538
 -0.13576409 -0.15462923  0.00705969]",Autres industries manufacturières
glaziery,Shop focused on selling and installing glazing for windows and doors.,"[-0.18303958  0.23869642  0.67006922 -0.40866588  0.63868487 -0.00398542
 -0.19364419 -0.22106966 -0.00981832]",Autres industries manufacturières
groundskeeping,"Shop focused on selling outdoor groundskeeping equipment (lawnmowers, chainsaws, small tractors, ...","[-2.00308123e-01  2.01225358e-01  5.09295647e-01 -2.96270157e-01
  5.27738879e-01 -2.30986204e-02 -1.59498407e-01 -1.98849743e-01
 -8.41264070e-05]",Industries alimentaires
hardware,"Shop focused on selling building supplies including screws, bolts & paints, … See also shop=doityourself","[-0.2023658   0.2179544   0.53849654 -0.29655777  0.58986495 -0.03683877
 -0.12724588 -0.20368198  0.0054918 ]",Fabrication de textiles
houseware,"Shop focused on selling crockery, cutlery, kitchenware, small household appliances.","[-0.22109393  0.20057434  0.49142976 -0.29503767  0.5183477  -0.05939423
 -0.11963042 -0.1712341  -0.01763755]",Industries alimentaires
locksmith,"Shop focused on selling keys, see also craft=locksmith and craft=key_cutter","[-0.20781231  0.22741146  0.61021293 -0.34915904  0.62893928 -0.02513583
 -0.17009111 -0.19766382  0.01452392]",Autres industries manufacturières
paint,Shop focused on selling paints.,"[-0.23453453  0.22916905  0.56717625 -0.29181796  0.59319955 -0.06520883
 -0.10369957 -0.19009003 -0.0093243 ]",Autres industries manufacturières
pottery,"Shop focused on selling earthenware, stoneware and porcelain and other ceramic ware.","[-0.19696565  0.2431857   0.6280187  -0.36672332  0.63229361 -0.02782225
 -0.18448388 -0.22147352  0.00489759]",Industries alimentaires
security,"Shop focused on selling security items like burglar alarms, vaults, locking systems, video surveillance cameras, firefighting equipment, alarm systems, warning systems, etc.","[-0.21752409  0.20168305  0.58909428 -0.3075143   0.55471109  0.01373895
 -0.10856164 -0.20247402 -0.00190327]",Industries alimentaires
tool_hire,Shop hiring out tools,"[-0.1184645   0.16502885  0.47811054 -0.23613624  0.40679127 -0.00847325
 -0.09737056 -0.12622826 -0.05684745]",Autres industries extractives
trade,"A place of business that sells to a particular trade or trades, but normally also retails to normal consumers. See also shop=doityourself","[-0.19798331  0.23016788  0.65672537 -0.39338226  0.72349715 -0.0032321
 -0.18993935 -0.23924458  0.03051342]",Industries alimentaires
antiques,Shop focused on selling antiques.,"[-0.23326553  0.23607651  0.61827858 -0.31865881  0.61887157 -0.05890836
 -0.1215863  -0.16813452 -0.01150457]",Autres industries manufacturières
bed,"Shop focused on selling beds, mattresses and other bedding products.","[-0.21554022  0.24434612  0.58275811 -0.32236393  0.59019346 -0.03989332
 -0.14106402 -0.18458796 -0.00153454]",Autres industries manufacturières
candles,"Shop focused on selling candles and candle accessories (holders, etc)","[-0.18965426  0.22535586  0.59848613 -0.35523136  0.57221374  0.00119419
 -0.13000076 -0.16896563  0.00473436]","Commerce de détail, à l’exception des automobiles et des motocycles"
carpet,Shop focused on selling carpets,"[-0.23326553  0.23607651  0.61827858 -0.31865881  0.61887157 -0.05890836
 -0.1215863  -0.16813452 -0.01150457]",Industries alimentaires
curtain,Shop focused on selling curtains or drapes (see also shop=fabric),"[-0.22652234  0.22713048  0.63494213 -0.33252127  0.67102076 -0.05018345
 -0.1472479  -0.19865961  0.01560701]",Fabrication de textiles
doors,Shop focused on selling doors,"[-0.23326553  0.23607651  0.61827858 -0.31865881  0.61887157 -0.05890836
 -0.1215863  -0.16813452 -0.01150457]",Autres industries manufacturières
flooring,Shop focused on selling floorings,"[-0.23326553  0.23607651  0.61827858 -0.31865881  0.61887157 -0.05890836
 -0.1215863  -0.16813452 -0.01150457]",Industries alimentaires
furniture,"Shop focused on selling furniture, might range from small decorational items to a whole flat interior","[-0.19593845  0.22585274  0.58113869 -0.35153731  0.61252343 -0.03024555
 -0.18441158 -0.19742562  0.00431317]",Fabrication de textiles
household_linen,Shop focused on selling household linen.,"[-0.21727241  0.2210534   0.51867229 -0.27733699  0.52334935 -0.05872619
 -0.09654877 -0.15972095 -0.03486902]",Fabrication de textiles
interior_decoration,Shop focused on selling interior decorations.,"[-0.23326553  0.23607651  0.61827858 -0.31865881  0.61887157 -0.05890836
 -0.1215863  -0.16813452 -0.01150457]",Fabrication de textiles
kitchen,"A shop where you can plan and buy your kitchen. (Sometimes called ""kitchen studio"" and the like, but plain kitchen is the most frequently used tag so far.)","[-0.20102537  0.2806091   0.65260794 -0.38609802  0.68046121 -0.00765474
 -0.1802481  -0.24374164  0.01668126]",Industries alimentaires
lighting,A shop selling lighting fixtures and lamps.,"[-0.18595539  0.26900326  0.67051654 -0.43730332  0.66698815 -0.01243271
 -0.21944796 -0.21808311 -0.00994734]",Autres industries manufacturières
tiles,Shop focused on selling tiles.,"[-0.23326553  0.23607651  0.61827858 -0.31865881  0.61887157 -0.05890836
 -0.1215863  -0.16813452 -0.01150457]",Industries alimentaires
window_blind,Shop focused on selling window blinds.,"[-0.23326553  0.23607651  0.61827858 -0.31865881  0.61887157 -0.05890836
 -0.1215863  -0.16813452 -0.01150457]",Autres industries manufacturières
computer,"Shop focused on selling computers, peripherals, software, …","[-0.21193826  0.23125437  0.55841534 -0.33547788  0.58926363 -0.04379208
 -0.14079278 -0.18140857 -0.02789143]",Industries alimentaires
electronics,"Shop focused on selling consumer electronics (TV, radio, …). Larger ones may also sell computers, fridges, …","[-0.2199721   0.23374541  0.53141463 -0.34525315  0.5920341  -0.02904616
 -0.14333264 -0.18253227  0.01300905]",Industries alimentaires
hifi,Shop focused on selling High Fidelity or High End environment to listen music or watch films at home,"[-0.17986177  0.2273932   0.66666552 -0.34205158  0.66661572 -0.07269865
 -0.17296705 -0.21941906  0.00790275]",Restauration
mobile_phone,Shop focused on selling mobile phones and accessories,"[-0.19016254  0.24453645  0.62339807 -0.35031735  0.59994836 -0.01195637
 -0.13803891 -0.18546802 -0.00968099]",Industries alimentaires
printer_ink,A shop that sells or refills printer ink cartridges.,"[-0.22130184  0.27412993  0.72621942 -0.4243026   0.71989205 -0.02524262
 -0.18840444 -0.25781445  0.01444289]",Fabrication d’équipements électriques
radiotechnics,"Shop focused on selling electronic components, electrical products, radio measuring devices, supplies for radio and electronics.","[-0.1729147   0.2121846   0.54071097 -0.31254707  0.56406044 -0.00542292
 -0.12603169 -0.18113484  0.01662442]",Industries alimentaires
telecommunication,"Shop selling internet, television or similar services, and related hardware.","[-0.21421397  0.26826758  0.67976879 -0.36689587  0.64684478 -0.03789548
 -0.14231575 -0.21173911 -0.01633352]",Industries alimentaires
vacuum_cleaner,Shop focused on selling vacuum cleaners and associated products.,"[-0.21971257  0.24329574  0.61097991 -0.34449669  0.58918636 -0.03556135
 -0.14189193 -0.1775491  -0.01086956]",Industries alimentaires
atv,"Shop focused on selling atvs (quads), atv equipment and may rent or repair them","[-0.19224598  0.25995969  0.58656451 -0.3425163   0.62567686 -0.03103839
 -0.160938   -0.1719633   0.00346045]",Industries alimentaires
bicycle,"Shop focused on selling bicycles, bicycle equipment and may rent or repair them","[-0.19224598  0.25995969  0.58656451 -0.3425163   0.62567686 -0.03103839
 -0.160938   -0.1719633   0.00346045]","Commerce de détail, à l’exception des automobiles et des motocycles"
boat,"Shop focused on selling boats, boat equipment and may rent or repair them","[-0.19224598  0.25995969  0.58656451 -0.3425163   0.62567686 -0.03103839
 -0.160938   -0.1719633   0.00346045]",Industries alimentaires
car,Car store – a place primarily to buy cars or to additionally get your car repaired,"[-0.16741149  0.21094313  0.67111497 -0.37166597  0.67088241  0.01712533
 -0.18411148 -0.20711369  0.00461716]",Industrie automobile
car_parts,"Shop focused on selling auto parts, auto accessories, motor oil, car chemicals, etc.","[-0.17451695  0.19814503  0.56794399 -0.34076417  0.55449564 -0.0077915
 -0.11253236 -0.14132375  0.00627911]","Commerce de détail, à l’exception des automobiles et des motocycles"
car_repair,Shop focused on repairing cars.,"[-0.19499932  0.16637764  0.58441687 -0.29616519  0.51854957 -0.04448642
 -0.12254641 -0.15521624 -0.02903704]",Industrie automobile
caravan,"A shop for caravans, motorhomes & similar recreational vehicles.","[-0.1982539   0.21955225  0.56684296 -0.34597813  0.55791785  0.02956809
 -0.13867767 -0.21329968 -0.02818702]",Autres industries manufacturières
fishing,Shop focused on selling fishing equipment.,"[-0.19996645  0.23972282  0.57789586 -0.27210606  0.59499219 -0.02456971
 -0.13805566 -0.18594901 -0.00744546]",Industries alimentaires
fuel,"Shop selling fuels (motor fuel, wood, coal, gas) that can't be considered a amenity=fuel (fuel station). Use fuel:*=yes/no to indicate which fuels are available.","[-0.21356389  0.25611161  0.5707633  -0.36258164  0.64943745  0.00406065
 -0.18245647 -0.21577167  0.03914295]",Industries alimentaires
golf,Shop focused on selling golf equipment.,"[-0.19996645  0.23972282  0.57789586 -0.27210606  0.59499219 -0.02456971
 -0.13805566 -0.18594901 -0.00744546]",Industries alimentaires
hunting,Shop focused on selling gun and hunting equipment.,"[-0.18870505  0.24190692  0.60947942 -0.32095118  0.61018555 -0.01252129
 -0.17096652 -0.20922474 -0.0040805 ]",Industries alimentaires
military_surplus,Shop selling used military equipment,"[-0.18892354  0.29743537  0.5766375  -0.31649259  0.6206848  -0.0061096
 -0.1414007  -0.20172159  0.00950449]",Industries alimentaires
motorcycle,"Shop focused on selling motorcycles and/or related accessories, clothes, parts, and rental services.","[-0.17171051  0.22970248  0.57205658 -0.3536059   0.57034054 -0.01375618
 -0.13193373 -0.17490778  0.00353157]","Commerce de détail, à l’exception des automobiles et des motocycles"
motorcycle_repair,Shop focused on motorcycle repair.,"[-0.19727841  0.20876616  0.49908623 -0.27612726  0.52764978 -0.0148091
 -0.11703073 -0.15096127 -0.01335469]","Commerce de détail, à l’exception des automobiles et des motocycles"
outdoor,"Shop focused on selling camping, walking, climbing, and other outdoor sports equipment (GPSes, etc.)","[-0.18636493  0.21479854  0.54058794 -0.31495172  0.5459776  -0.0044324
 -0.15929723 -0.19804692  0.00994224]",Industries alimentaires
scooter,"Shop focused on selling scooters (small 2 wheeled, low platformed motorcycles).","[-0.21652639  0.19182886  0.49978461 -0.29539783  0.52662669 -0.03484519
 -0.14103879 -0.17328871  0.00970181]","Commerce de détail, à l’exception des automobiles et des motocycles"
scuba_diving,Shop focused on selling scuba diving equipment.,"[-0.19996645  0.23972282  0.57789586 -0.27210606  0.59499219 -0.02456971
 -0.13805566 -0.18594901 -0.00744546]",Industries alimentaires
ski,"Shop focused on selling skis, ski equipment and may rent or repair them","[-0.19224598  0.25995969  0.58656451 -0.3425163   0.62567686 -0.03103839
 -0.160938   -0.1719633   0.00346045]",Industries alimentaires
snowmobile,"Shop focused on selling snowmobiles, snowmobile equipment and may rent or repair them","[-0.19224598  0.25995969  0.58656451 -0.3425163   0.62567686 -0.03103839
 -0.160938   -0.1719633   0.00346045]",Industries alimentaires
sports,Shop focused on selling sporting goods.,"[-0.20123874  0.24338223  0.59065194 -0.32837217  0.60596938 -0.03341833
 -0.10938894 -0.18198352  0.01524262]",Industries alimentaires
surf,"Shop selling surfboards, sailboards, wakeboards, and other types of surf style boards. and/or related accessories, clothes, parts, repair and rental services.","[-0.16797167  0.25335697  0.59283721 -0.39247055  0.6256368  -0.0222451
 -0.16091645 -0.18929472  0.00146968]",Autres industries manufacturières
swimming_pool,A store that sells swimming pool equipment and supplies.,"[-0.16643143  0.2573358   0.64712691 -0.37988518  0.65706688  0.03468468
 -0.21595503 -0.26283111  0.02772613]",Fabrication de textiles
